Aadhaar,Month,Haemoglobin
1234567204,2-2022,13.0
1234567205,1-2022,11.0
1234567205,2-2022,11.0
1234567206,1-2022,13.0
1234567206,2-2022,13.0
1234567207,1-2022,10.0
1234567207,2-2022,10.0
1234567208,1-2022,8.0
1234567208,2-2022,8.0
1234567209,1-2022,9.0
1234567209,2-2022,9.0
1234567210,1-2022,10.0
1234567210,2-2022,10.0
1234567211,1-2022,10.0
1234567211,2-2022,10.0
1234567212,1-2022,11.0
1234567212,2-2022,11.0
1234567213,1-2022,11.0
1234567213,2-2022,11.0
1234567214,1-2022,10.0
1234567214,2-2022,10.0
1234567215,1-2022,10.0
1234567215,2-2022,10.0
1234567216,1-2022,9.0
1234567216,2-2022,9.0
1234567217,1-2022,9.0
1234567217,2-2022,9.0
1234567218,1-2022,11.0
1234567218,2-2022,11.0
1234567219,1-2022,11.0
1234567219,2-2022,11.0
1234567220,1-2022,12.0
1234567220,2-2022,12.0
1234567221,1-2022,12.0
1234567221,2-2022,12.0
1234567222,1-2022,11.0
1234567222,2-2022,11.0
1234567223,1-2022,11.0
1234567223,2-2022,11.0
1234567224,1-2022,9.0
1234567224,2-2022,9.0
1234567225,1-2022,9.0
1234567225,2-2022,9.0
1234567226,1-2022,10.0
1234567226,2-2022,10.0
1234567227,1-2022,10.0
1234567227,2-2022,9.0
1234567228,1-2022,9.0
1234567228,2-2022,8.6
1234567229,1-2022,8.6
1234567229,2-2022,7.1
1234567230,1-2022,7.1
1234567230,2-2022,9.0
1234567231,1-2022,9.0
1234567231,2-2022,8.2
1234567232,1-2022,9.0
1234567232,2-2022,10.0
1234567233,1-2022,10.0
1234567233,2-2022,11.0
1234567234,1-2022,11.0
1234567234,2-2022,10.0
1234567235,1-2022,10.0
1234567235,2-2022,9.0
1234567236,1-2022,9.0
1234567236,2-2022,12.0
1234567237,1-2022,12.0
1234567237,2-2022,8.0
1234567238,1-2022,8.0
1234567238,2-2022,12.0
1234567239,1-2022,12.0
1234567239,2-2022,11.0
1234567240,1-2022,11.0
1234567240,2-2022,9.0
1234567241,1-2022,9.0
1234567241,2-2022,11.0
1234567242,1-2022,11.0
1234567242,2-2022,12.0
1234567243,1-2022,12.0
1234567243,2-2022,10.0
1234567244,1-2022,10.0
1234567244,2-2022,9.0
1234567245,1-2022,9.0
1234567245,2-2022,8.0
1234567246,1-2022,8.0
1234567246,2-2022,9.0
1234567247,1-2022,9.0
1234567247,2-2022,10.0
1234567248,1-2022,10.0
1234567248,2-2022,6.1
1234567249,1-2022,6.1
1234567249,2-2022,6.3
1234567250,1-2022,6.3
1234567250,2-2022,8.0
1234567251,1-2022,8.0
1234567251,2-2022,9.0
1234567252,1-2022,9.0
1234567252,2-2022,8.0
1234567253,1-2022,8.0
1234567253,2-2022,7.5
1234567254,1-2022,7.5
1234567254,2-2022,9.0
1234567255,1-2022,9.0
1234567255,2-2022,8.0
1234567256,1-2022,8.0
1234567256,2-2022,7.0
1234567257,1-2022,7.0
1234567257,2-2022,9.0
1234567258,1-2022,9.0
1234567258,2-2022,8.5
1234567259,1-2022,8.5
1234567259,2-2022,11.0
1234567260,1-2022,11.0
1234567260,2-2022,13.0
1234567261,1-2022,13.0
1234567261,2-2022,6.3
1234567262,1-2022,6.3
1234567262,2-2022,9.0
1234567263,1-2022,9.0
1234567263,2-2022,8.0
1234567264,1-2022,8.0
1234567264,2-2022,7.5
1234567265,1-2022,7.5
1234567265,2-2022,9.0
1234567266,1-2022,9.0
1234567266,2-2022,8.0
1234567267,1-2022,8.0
1234567267,2-2022,7.3
1234567268,1-2022,7.3
1234567268,2-2022,8.0
1234567269,1-2022,8.0
1234567269,2-2022,9.0
1234567270,1-2022,9.0
1234567270,2-2022,8.0
1234567271,1-2022,8.0
1234567271,2-2022,9.0
1234567272,1-2022,9.0
1234567272,2-2022,8.0
1234567273,1-2022,8.0
1234567273,2-2022,10.1
1234567274,1-2022,10.1
1234567274,2-2022,8.0
1234567275,1-2022,8.0
1234567275,2-2022,9.0
1234567276,1-2022,9.0
1234567276,2-2022,11.0
1234567277,1-2022,11.0
1234567277,2-2022,11.0
1234567278,1-2022,11.0
1234567278,2-2022,7.0
1234567279,1-2022,7.0
1234567279,2-2022,7.0
1234567280,1-2022,7.0
1234567280,2-2022,8.0
1234567281,1-2022,8.0
1234567281,2-2022,9.0
1234567282,1-2022,9.0
1234567282,2-2022,8.0
1234567283,1-2022,8.0
1234567283,2-2022,7.5
1234567284,1-2022,7.5
1234567284,2-2022,8.2
1234567285,1-2022,8.2
1234567285,2-2022,7.0
1234567286,1-2022,7.0
1234567286,2-2022,6.0
1234567287,1-2022,6.0
1234567287,2-2022,9.0
1234567288,1-2022,9.0
1234567288,2-2022,10.0
1234567289,1-2022,10.0
1234567289,2-2022,9.0
1234567290,1-2022,9.0
1234567290,2-2022,10.0
1234567291,1-2022,10.0
1234567291,2-2022,9.0
1234567292,1-2022,9.0
1234567292,2-2022,8.0
1234567293,1-2022,8.0
1234567293,2-2022,11.0
1234567294,1-2022,11.0
1234567294,2-2022,8.0
1234567295,1-2022,8.0
1234567295,2-2022,8.0
1234567296,1-2022,8.0
1234567296,2-2022,7.0
1234567297,1-2022,7.0
1234567297,2-2022,9.0
1234567298,1-2022,9.0
1234567298,2-2022,11.0
1234567299,1-2022,11.0
1234567299,2-2022,8.0
1234567300,1-2022,8.0
1234567300,2-2022,9.0
1234567301,1-2022,9.0
1234567301,2-2022,10.0
1234567302,1-2022,10.0
1234567302,2-2022,9.0
1234567303,1-2022,9.0
1234567303,2-2022,8.0
1234567304,1-2022,8.0
1234567304,2-2022,7.0
1234567305,1-2022,7.0
1234567305,2-2022,8.0
1234567306,1-2022,8.0
1234567306,2-2022,9.0
1234567307,1-2022,9.0
1234567307,2-2022,11.0
1234567308,1-2022,11.0
1234567308,2-2022,9.0
1234567309,1-2022,9.0
1234567309,2-2022,7.0
1234567310,1-2022,7.0
1234567310,2-2022,8.0
1234567311,1-2022,8.0
1234567311,2-2022,7.0
1234567312,1-2022,7.0
1234567312,2-2022,8.0
1234567313,1-2022,8.0
1234567313,2-2022,6.0
1234567314,1-2022,6.0
1234567314,2-2022,9.0
1234567315,1-2022,9.0
1234567315,2-2022,8.1
1234567316,1-2022,8.1
1234567316,2-2022,10.0
1234567317,1-2022,10.0
1234567317,2-2022,8.0
1234567318,1-2022,8.0
1234567318,2-2022,9.0
1234567319,1-2022,9.0
1234567319,2-2022,9.0
1234567320,1-2022,9.0
1234567320,2-2022,11.0
1234567321,1-2022,11.0
1234567321,2-2022,9.0
1234567322,1-2022,9.0
1234567322,2-2022,8.0
1234567323,1-2022,8.0
1234567323,2-2022,9.0
1234567324,1-2022,9.0
1234567324,2-2022,11.0
1234567325,1-2022,11.0
1234567325,2-2022,8.6
1234567326,1-2022,8.6
1234567326,2-2022,8.0
1234567327,1-2022,8.0
1234567327,2-2022,7.3
1234567328,1-2022,7.3
1234567328,2-2022,8.0
1234567329,1-2022,8.0
1234567329,2-2022,8.6
1234567330,1-2022,8.6
1234567330,2-2022,9.0
1234567331,1-2022,9.0
1234567331,2-2022,8.0
1234567332,1-2022,8.0
1234567332,2-2022,7.0
1234567333,1-2022,7.0
1234567333,2-2022,8.3
1234567334,1-2022,8.3
1234567334,2-2022,9.0
1234567335,1-2022,9.0
1234567335,2-2022,11.0
1234567336,1-2022,11.0
1234567336,2-2022,10.0
1234567337,1-2022,10.0
1234567337,2-2022,12.0
1234567338,1-2022,12.0
1234567338,2-2022,9.0
1234567339,1-2022,9.0
1234567339,2-2022,10.0
1234567340,1-2022,10.0
1234567340,2-2022,9.0
1234567341,1-2022,9.0
1234567341,2-2022,10.0
1234567342,1-2022,10.0
1234567342,2-2022,8.0
1234567343,1-2022,8.0
1234567343,2-2022,10.0
1234567344,1-2022,10.0
1234567344,2-2022,8.0
1234567345,1-2022,8.0
1234567345,2-2022,9.0
1234567346,1-2022,9.0
1234567346,2-2022,10.0
1234567347,1-2022,10.0
1234567347,2-2022,13.0
1234567348,1-2022,13.0
1234567348,2-2022,12.0
1234567349,1-2022,12.0
1234567349,2-2022,11.0
1234567350,1-2022,11.0
1234567350,2-2022,8.0
1234567351,1-2022,8.0
1234567351,2-2022,9.0
1234567352,1-2022,9.0
1234567352,2-2022,10.0
1234567773,1-2022,10.0
1234567773,2-2022,8.0
1234567774,1-2022,8.0
1234567774,2-2022,6.0
1234567775,1-2022,6.0
1234567775,2-2022,9.0
1234567776,1-2022,9.0
1234567776,2-2022,8.6
1234567777,1-2022,8.6
1234567777,2-2022,9.0
1234567778,1-2022,9.0
1234567778,2-2022,11.0
1234567779,1-2022,11.0
1234567779,2-2022,7.0
1234567811,1-2022,7.0
1234567811,2-2022,8.0
1234567818,1-2022,8.0
1234567818,2-2022,10.0
1234567822,1-2022,10.0
1234567822,2-2022,9.0
1234567823,1-2022,9.0
1234567823,2-2022,11.0
1234567824,1-2022,11.0
1234567824,2-2022,10.0
1234567825,1-2022,10.0
1234567825,2-2022,11.3
1234567826,1-2022,11.3
1234567826,2-2022,9.0
1234567827,1-2022,9.0
1234567827,2-2022,8.0
1234567828,1-2022,8.0
1234567828,2-2022,7.0
1234567829,1-2022,7.0
1234567829,2-2022,8.0
1234567830,1-2022,8.0
1234567830,2-2022,9.0
1234567831,1-2022,9.0
1234567831,2-2022,8.0
1234567832,1-2022,8.0
1234567832,2-2022,7.0
1234567833,1-2022,7.0
1234567833,2-2022,11.0
1234567834,1-2022,9.0
1234567834,2-2022,9.0
1234567835,1-2022,10.5
1234567835,2-2022,10.5
1234567836,1-2022,8.0
1234567836,2-2022,8.0
1234567837,1-2022,9.0
1234567837,2-2022,9.0
1234567838,1-2022,11.0
1234567838,2-2022,11.0
1234567839,1-2022,12.5
1234567839,2-2022,12.5
1234567840,1-2022,9.0
1234567840,2-2022,9.0
1234567841,1-2022,8.0
1234567841,2-2022,8.0
1234567842,1-2022,11.0
1234567842,2-2022,11.0
1234567843,1-2022,7.0
1234567843,2-2022,7.0
1234567844,1-2022,9.0
1234567844,2-2022,9.0
1234567845,1-2022,8.0
1234567845,2-2022,8.0
1234567846,1-2022,8.5
1234567846,2-2022,8.5
1234567847,1-2022,7.5
1234567847,2-2022,7.5
1234567848,1-2022,8.0
1234567848,2-2022,8.0
1234567849,1-2022,9.0
1234567849,2-2022,9.0
1234567850,1-2022,12.0
1234567850,2-2022,12.0
1234567851,1-2022,9.0
1234567851,2-2022,9.0
1234567852,1-2022,7.0
1234567852,2-2022,7.0
1234567853,1-2022,8.0
1234567853,2-2022,8.0
1234567854,1-2022,9.5
1234567854,2-2022,9.5
1234567855,1-2022,9.0
1234567855,2-2022,9.0
1234567856,1-2022,11.0
1234567856,2-2022,11.0
1234567857,1-2022,10.5
1234567857,2-2022,10.5
1234567858,1-2022,7.5
1234567858,2-2022,7.5
1234567859,1-2022,8.0
1234567859,2-2022,8.0
1234567860,1-2022,9.0
1234567860,2-2022,9.0
1234567861,1-2022,8.5
1234567861,2-2022,8.5
1234567862,1-2022,10.0
1234567862,2-2022,10.0
1234567863,1-2022,11.5
1234567863,2-2022,11.5
1234567864,1-2022,8.5
1234567864,2-2022,8.5
1234567865,1-2022,9.0
1234567865,2-2022,9.0
1234567866,1-2022,10.0
1234567866,2-2022,10.0
1234567867,1-2022,8.0
1234567867,2-2022,8.0
1234567868,1-2022,9.0
1234567868,2-2022,9.0
1234567869,1-2022,7.5
1234567869,2-2022,7.5
1234567870,1-2022,10.0
1234567870,2-2022,10.0
1234567871,1-2022,11.0
1234567871,2-2022,11.0
1234567872,1-2022,8.5
1234567872,2-2022,8.5
1234567873,1-2022,9.0
1234567873,2-2022,9.0
1234567874,1-2022,10.0
1234567874,2-2022,10.0
1234567875,1-2022,7.0
1234567875,2-2022,7.0
1234567876,1-2022,8.0
1234567876,2-2022,8.0
1234567877,1-2022,8.5
1234567877,2-2022,8.5
1234567878,1-2022,9.0
1234567878,2-2022,9.0
1234567879,1-2022,11.0
1234567879,2-2022,11.0
1234567880,1-2022,9.5
1234567880,2-2022,9.5
1234567881,1-2022,8.0
1234567881,2-2022,8.0
1234567882,1-2022,8.5
1234567882,2-2022,8.5
1234567883,1-2022,9.0
1234567883,2-2022,9.0
1234567884,1-2022,6.5
1234567884,2-2022,6.5
1234567885,1-2022,12.0
1234567885,2-2022,12.0
1234567886,1-2022,11.5
1234567886,2-2022,11.5
1234567887,1-2022,9.0
1234567887,2-2022,9.0
1234567888,1-2022,10.0
1234567888,2-2022,10.0
1234567889,1-2022,10.5
1234567889,2-2022,10.5
1234567890,1-2022,9.0
1234567890,2-2022,9.0
1234567891,1-2022,9.0
1234567891,2-2022,9.0
1234567892,1-2022,9.5
1234567892,2-2022,9.5
1234567893,1-2022,10.0
1234567893,2-2022,10.0
1234567894,1-2022,10.0
1234567894,2-2022,10.0
1234567895,1-2022,9.5
1234567895,2-2022,9.5
1234567896,1-2022,9.0
1234567896,2-2022,9.0
1234567897,1-2022,11.0
1234567897,2-2022,11.0
1234567898,1-2022,9.0
1234567898,2-2022,9.0
123456789001,1-2022,8.0
123456789001,2-2022,8.0
200512980367,1-2022,11.5
200512980367,2-2022,11.5
237292051380,1-2022,8.0
237292051380,2-2022,8.0
278237141004,1-2022,9.0
278237141004,2-2022,9.0
280997137253,1-2022,8.5
280997137253,2-2022,8.5
281334862992,1-2022,9.5
281334862992,2-2022,9.5
303388786343,1-2022,7.0
303388786343,2-2022,7.0
312894631619,1-2022,7.5
312894631619,2-2022,7.5
366512133803,1-2022,9.0
366512133803,2-2022,9.0
384906521630,1-2022,11.5
384906521630,2-2022,11.5
388860389218,1-2022,12.0
388860389218,2-2022,12.0
390508306934,1-2022,10.5
390508306934,2-2022,10.5
399793412075,1-2022,8.5
399793412075,2-2022,8.5
402102572577,1-2022,9.0
402102572577,2-2022,9.0
402219859926,1-2022,8.5
402219859926,2-2022,8.5
408011045470,1-2022,11.0
408011045470,2-2022,11.0
422743870038,1-2022,12.0
422743870038,2-2022,12.0
423542713786,1-2022,9.5
423542713786,2-2022,9.5
425910618622,1-2022,13.0
425910618622,2-2022,13.0
431871990480,1-2022,11.0
431871990480,2-2022,11.0
454238476010,1-2022,10.5
454238476010,2-2022,10.5
467491204688,1-2022,9.0
467491204688,2-2022,9.0
477237165312,1-2022,9.0
477237165312,2-2022,9.0
492349936230,1-2022,9.5
492349936230,2-2022,9.5
492635584674,1-2022,9.0
492635584674,2-2022,9.0
507172370945,1-2022,10.0
507172370945,2-2022,10.0
509786991748,1-2022,10.0
509786991748,2-2022,10.0
540056833323,1-2022,9.0
540056833323,2-2022,9.0
543994073922,1-2022,11.0
543994073922,2-2022,11.0
548860772600,1-2022,10.5
548860772600,2-2022,10.5
553745163393,1-2022,8.5
553745163393,2-2022,8.5
590701390399,1-2022,9.0
590701390399,2-2022,9.0
593968857711,1-2022,8.5
593968857711,2-2022,8.5
599588963434,1-2022,10.0
599588963434,2-2022,10.0
614066747482,1-2022,9.5
614066747482,2-2022,9.5
614649442600,1-2022,7.5
614649442600,2-2022,7.5
615680810345,1-2022,9.5
615680810345,2-2022,9.5
680128785385,1-2022,10.5
680128785385,2-2022,10.5
700519504110,1-2022,8.5
700519504110,2-2022,8.5
705334452726,1-2022,9.0
705334452726,2-2022,9.0
709730975380,1-2022,8.5
709730975380,2-2022,8.5
716703188655,1-2022,11.0
716703188655,2-2022,11.0
722708543739,1-2022,9.5
722708543739,2-2022,9.5
734036567725,1-2022,11.0
734036567725,2-2022,11.0
734602245702,1-2022,13.0
734602245702,2-2022,13.0
735866149377,1-2022,10.5
735866149377,2-2022,10.5
754843151516,1-2022,9.0
754843151516,2-2022,9.0
759181957156,1-2022,9.0
759181957156,2-2022,9.0
773762065539,1-2022,9.5
773762065539,2-2022,9.5
777382585905,1-2022,9.0
777382585905,2-2022,9.0
778378647685,1-2022,10.0
778378647685,2-2022,10.0
779810371071,1-2022,10.0
779810371071,2-2022,10.0
804987025197,1-2022,9.0
804987025197,2-2022,9.0
811402597054,1-2022,11.0
811402597054,2-2022,11.0
824483071931,1-2022,10.5
824483071931,2-2022,10.5
825360666370,1-2022,8.5
825360666370,2-2022,8.5
849048687729,1-2022,9.0
849048687729,2-2022,9.0
899940797448,1-2022,8.5
899940797448,2-2022,8.5
923345668286,1-2022,10.0
923345668286,2-2022,10.0
925648752750,1-2022,9.5
925648752750,2-2022,9.5
940201987740,1-2022,7.5
940201987740,2-2022,7.5
987419958816,1-2022,9.5
987419958816,2-2022,9.5
990095966133,1-2022,11.0
990095966133,2-2022,11.0
