Aadhaar,Month,Gender,Age,Height,Weight,BodyFat,MidArm,BMI,BMR
1234567142,2-2022,Gender.Female,30,149,45,18,0,20,1070
1234567143,1-2022,Gender.Female,12,110,31,0,19,26,777
1234567143,2-2022,Gender.Female,12,110,31,0,19,26,777
1234567144,1-2022,Gender.Male,8,110,22,0,15,18,873
1234567144,2-2022,Gender.Male,8,110,22,0,15,18,873
1234567145,1-2022,Gender.Female,60,166,73,33,0,26,1307
1234567145,2-2022,Gender.Female,60,166,73,33,0,26,1307
1234567146,1-2022,Gender.Male,71,169,65,24,0,23,1356
1234567146,2-2022,Gender.Male,71,169,65,24,0,23,1356
1234567147,1-2022,Gender.Female,55,157,47,19,0,19,1015
1234567147,2-2022,Gender.Female,55,157,47,19,0,19,1015
1234567148,1-2022,Gender.Female,35,155,60,31,0,25,1233
1234567148,2-2022,Gender.Female,35,155,60,31,0,25,1233
1234567149,1-2022,Gender.Male,41,161,83,33,0,32,1636
1234567149,2-2022,Gender.Male,41,161,83,33,0,32,1636
1234567150,1-2022,Gender.Female,19,146,41,19,0,19,1067
1234567150,2-2022,Gender.Female,19,146,41,19,0,19,1067
1234567151,1-2022,Gender.Male,14,140,37,0,19,19,1180
1234567151,2-2022,Gender.Male,14,140,37,0,19,19,1180
1234567152,1-2022,Gender.Male,38,159,75,30,0,30,1559
1234567152,2-2022,Gender.Male,38,159,75,30,0,30,1559
1234567153,1-2022,Gender.Female,35,154,62,29,0,26,1247
1234567153,2-2022,Gender.Female,35,154,62,29,0,26,1247
1234567154,1-2022,Gender.Female,3,0,13,0,0,0,0
1234567154,2-2022,Gender.Female,3,0,13,0,0,0,0
1234567155,1-2022,Gender.Male,33,161,71,29,0,27,1556
1234567155,2-2022,Gender.Male,33,161,71,29,0,27,1556
1234567156,1-2022,Gender.Female,32,150,56,28,0,25,1177
1234567156,2-2022,Gender.Female,32,150,56,28,0,25,1177
1234567157,1-2022,Gender.Male,12,122,27,0,20,18,978
1234567157,2-2022,Gender.Male,12,122,27,0,20,18,978
1234567158,1-2022,Gender.Female,10,110,22,0,18,18,697
1234567158,2-2022,Gender.Female,10,110,22,0,18,18,697
1234567159,1-2022,Gender.Female,31,155,63,31,0,26,1283
1234567159,2-2022,Gender.Female,31,155,63,31,0,26,1283
1234567160,1-2022,Gender.Male,32,160,74,33,0,29,1585
1234567160,2-2022,Gender.Male,32,160,74,33,0,29,1585
1234567161,1-2022,Gender.Male,11,125,29,0,20,19,1021
1234567161,2-2022,Gender.Male,11,125,29,0,20,19,1021
1234567162,1-2022,Gender.Female,2,0,10,0,0,0,0
1234567162,2-2022,Gender.Female,2,0,10,0,0,0,0
1234567163,1-2022,Gender.Female,21,148,42,19,0,19,1079
1234567163,2-2022,Gender.Female,21,148,42,19,0,19,1079
1234567164,1-2022,Gender.Male,26,160,54,26,0,21,1415
1234567164,2-2022,Gender.Male,26,160,54,26,0,21,1415
1234567165,1-2022,Gender.Female,1,0,9,0,0,0,0
1234567165,2-2022,Gender.Female,1,0,9,0,0,0,0
1234567166,1-2022,Gender.Female,21,145,39,0,23,19,1030
1234567166,2-2022,Gender.Female,21,145,39,0,23,19,1030
1234567167,1-2022,Gender.Male,25,149,58,24,0,26,1391
1234567167,2-2022,Gender.Male,25,149,58,24,0,26,1391
1234567168,1-2022,Gender.Female,2,0,10,0,0,0,0
1234567168,2-2022,Gender.Female,2,0,10,0,0,0,0
1234567169,1-2022,Gender.Male,36,171,83,31,0,28,1724
1234567169,2-2022,Gender.Male,36,171,83,31,0,28,1724
1234567170,1-2022,Gender.Female,31,150,63,26,0,28,1252
1234567170,2-2022,Gender.Female,31,150,63,26,0,28,1252
1234567171,1-2022,Gender.Male,7,115,21,0,18,16,899
1234567171,2-2022,Gender.Male,7,115,21,0,18,16,899
1234567172,1-2022,Gender.Female,7,115,20,0,18,15,723
1234567172,2-2022,Gender.Female,7,115,20,0,18,15,723
1234567173,1-2022,Gender.Male,21,146,21,20,0,10,1023
1234567173,2-2022,Gender.Male,21,146,21,20,0,10,1023
1234567174,1-2022,Gender.Male,18,145,42,19,0,20,1241
1234567174,2-2022,Gender.Male,18,145,42,19,0,20,1241
1234567175,1-2022,Gender.Male,30,150,68,30,0,30,1473
1234567175,2-2022,Gender.Male,30,150,68,30,0,30,1473
1234567176,1-2022,Gender.Female,28,148,50,31,0,23,1124
1234567176,2-2022,Gender.Female,28,148,52,31,0,23,1144
1234567177,1-2022,Gender.Male,40,178,56,21,0,18,1478
1234567177,2-2022,Gender.Male,40,178,56,21,0,18,1478
1234567178,1-2022,Gender.Male,7,110,24,13,0,20,898
1234567178,2-2022,Gender.Male,7,110,24,13,0,20,898
1234567179,1-2022,Gender.Male,70,165,61,30,0,22,1296
1234567179,2-2022,Gender.Male,70,165,61,30,0,22,1296
1234567180,1-2022,Gender.Female,65,158,59,31,0,24,1092
1234567180,2-2022,Gender.Female,65,158,59,31,0,24,1092
1234567181,1-2022,Gender.Male,27,151,71,32,0,31,1524
1234567181,2-2022,Gender.Male,27,151,71,32,0,31,1524
1234567182,1-2022,Gender.Male,15,148,49,30,0,22,1345
1234567182,2-2022,Gender.Male,15,148,49,30,0,22,1345
1234567183,1-2022,Gender.Female,75,155,49,21,0,20,923
1234567183,2-2022,Gender.Female,75,155,49,21,0,20,923
1234567184,1-2022,Gender.Female,26,142,51,19,0,25,1107
1234567184,2-2022,Gender.Female,26,142,51,19,0,25,1107
1234567185,1-2022,Gender.Male,4,30,9,0,12,0,263
1234567185,2-2022,Gender.Male,4,30,9,0,12,0,263
1234567186,1-2022,Gender.Female,8,80,20,0,11,31,499
1234567186,2-2022,Gender.Female,8,80,21,0,11,31,509
1234567187,1-2022,Gender.Male,45,162,77,27,0,29,1563
1234567187,2-2022,Gender.Male,45,162,77,27,0,29,1563
1234567188,1-2022,Gender.Female,40,159,51,27,0,20,1143
1234567188,2-2022,Gender.Female,40,159,52,27,0,21,1153
1234567189,1-2022,Gender.Male,19,145,39,22,0,19,1206
1234567189,2-2022,Gender.Male,19,145,39,11,0,19,1206
1234567190,1-2022,Gender.Male,15,148,46,29,0,21,1315
1234567190,2-2022,Gender.Male,15,148,46,29,0,21,1315
1234567191,1-2022,Gender.Female,50,165,65,30,0,24,1270
1234567191,2-2022,Gender.Female,50,165,65,30,0,24,1270
1234567192,1-2022,Gender.Female,47,150,51,32,0,23,1052
1234567192,2-2022,Gender.Female,47,150,51,33,0,23,1052
1234567193,1-2022,Gender.Male,27,155,58,29,0,24,1419
1234567193,2-2022,Gender.Male,27,155,59,29,0,25,1429
1234567194,1-2022,Gender.Male,35,158,60,34,0,24,1418
1234567194,2-2022,Gender.Male,35,158,60,34,0,24,1418
1234567195,1-2022,Gender.Male,34,162,56,22,0,21,1408
1234567195,2-2022,Gender.Male,34,162,56,22,0,21,1408
1234567196,1-2022,Gender.Female,60,154,50,29,0,21,1002
1234567196,2-2022,Gender.Female,60,154,50,30,0,21,1002
1234567197,1-2022,Gender.Female,30,152,55,36,0,24,1189
1234567197,2-2022,Gender.Female,30,152,55,36,0,24,1189
1234567198,1-2022,Gender.Female,1,0,9,0,0,0,0
1234567198,2-2022,Gender.Female,1,0,9,0,0,0,0
1234567199,1-2022,Gender.Male,1,0,6,0,0,0,60
1234567199,2-2022,Gender.Male,1,0,6,0,0,0,60
1234567200,1-2022,Gender.Female,23,155,45,21,0,19,1143
1234567200,2-2022,Gender.Female,23,155,45,21,0,19,1143
1234567201,1-2022,Gender.Male,35,145,61,21,0,29,1346
1234567201,2-2022,Gender.Male,35,145,61,21,0,29,1346
1234567202,1-2022,Gender.Female,21,149,41,20,0,18,1075
1234567202,2-2022,Gender.Female,21,149,41,20,0,18,1075
1234567203,1-2022,Gender.Male,26,155,55,30,0,23,1394
1234567203,2-2022,Gender.Male,26,155,54,30,0,22,1384
1234567204,1-2022,Gender.Male,28,165,75,35,0,28,1646
1234567204,2-2022,Gender.Male,28,165,75,35,0,28,1646
1234567205,1-2022,Gender.Female,23,155,57,28,0,24,1263
1234567205,2-2022,Gender.Female,23,155,57,28,0,24,1263
1234567206,1-2022,Gender.Male,26,154,65,32,0,27,1488
1234567206,2-2022,Gender.Male,26,154,65,32,0,27,1488
1234567207,1-2022,Gender.Male,48,163,73,29,0,27,1514
1234567207,2-2022,Gender.Male,48,163,73,29,0,27,1514
1234567208,1-2022,Gender.Female,40,147,51,21,0,24,1068
1234567208,2-2022,Gender.Female,40,147,51,21,0,24,1068
1234567209,1-2022,Gender.Female,18,145,41,17,0,20,1065
1234567209,2-2022,Gender.Female,18,145,41,17,0,20,1065
1234567210,1-2022,Gender.Female,16,142,42,19,0,21,1067
1234567210,2-2022,Gender.Female,16,142,42,19,0,21,1067
1234567211,1-2022,Gender.Female,78,160,67,35,0,26,1119
1234567211,2-2022,Gender.Female,78,160,67,35,0,26,1119
1234567212,1-2022,Gender.Female,30,155,62,30,0,26,1278
1234567212,2-2022,Gender.Female,30,155,62,30,0,26,1278
1234567213,1-2022,Gender.Female,38,163,69,23,0,26,1358
1234567213,2-2022,Gender.Female,38,163,69,23,0,26,1358
1234567214,1-2022,Gender.Male,49,177,71,29,0,23,1576
1234567214,2-2022,Gender.Male,49,177,71,29,0,23,1576
1234567215,1-2022,Gender.Male,25,167,66,29,0,24,1584
1234567215,2-2022,Gender.Male,25,167,66,29,0,24,1584
1234567216,1-2022,Gender.Male,35,165,72,33,0,26,1581
1234567216,2-2022,Gender.Male,35,165,72,33,0,26,1581
1234567217,1-2022,Gender.Female,31,160,63,26,0,25,1314
1234567217,2-2022,Gender.Female,31,160,63,26,0,25,1314
1234567218,1-2022,Gender.Male,56,162,60,20,0,23,1338
1234567218,2-2022,Gender.Male,56,162,60,20,0,23,1338
1234567219,1-2022,Gender.Female,45,150,50,22,0,22,1052
1234567219,2-2022,Gender.Female,45,150,51,22,0,23,1062
1234567220,1-2022,Gender.Male,56,162,72,27,0,27,1458
1234567220,2-2022,Gender.Male,56,162,72,27,0,27,1458
1234567221,1-2022,Gender.Female,45,150,50,21,0,22,1052
1234567221,2-2022,Gender.Female,45,150,50,21,0,22,1052
1234567222,1-2022,Gender.Female,80,145,46,18,0,22,805
1234567222,2-2022,Gender.Female,80,145,46,18,0,22,805
1234567223,1-2022,Gender.Male,36,155,58,27,0,24,1374
1234567223,2-2022,Gender.Male,36,155,58,27,0,24,1374
1234567224,1-2022,Gender.Female,35,145,50,20,0,24,1070
1234567224,2-2022,Gender.Female,35,145,50,20,0,24,1070
1234567225,1-2022,Gender.Female,65,145,53,18,0,25,950
1234567225,2-2022,Gender.Female,65,145,53,18,0,25,950
1234567226,1-2022,Gender.Female,52,167,60,23,0,22,1223
1234567226,2-2022,Gender.Female,52,167,58,19,0,21,1203
1234567227,1-2022,Gender.Male,28,160,71,33,0,28,1575
1234567227,2-2022,Gender.Male,28,160,71,33,0,28,1575
1234567228,1-2022,Gender.Male,32,168,72,31,0,26,1615
1234567228,2-2022,Gender.Male,32,168,72,31,0,26,1615
1234567229,1-2022,Gender.Male,20,150,55,30,0,24,1393
1234567229,2-2022,Gender.Male,20,150,55,30,0,24,1393
1234567230,1-2022,Gender.Female,80,142,43,17,0,21,757
1234567230,2-2022,Gender.Female,80,142,43,17,0,21,757
1234567231,1-2022,Gender.Male,19,150,61,28,0,27,1458
1234567231,2-2022,Gender.Male,19,150,61,28,0,27,1458
1234567232,1-2022,Gender.Male,50,140,65,32,0,33,1280
1234567232,2-2022,Gender.Male,50,140,65,32,0,33,1280
1234567233,1-2022,Gender.Female,42,140,48,21,0,24,984
1234567233,2-2022,Gender.Female,42,140,48,21,0,24,984
1234567234,1-2022,Gender.Female,20,150,55,29,0,24,1227
1234567234,2-2022,Gender.Female,20,150,55,29,0,24,1227
1234567235,1-2022,Gender.Female,16,148,44,29,0,20,1124
1234567235,2-2022,Gender.Female,16,148,45,30,0,21,1134
1234567236,1-2022,Gender.Female,17,125,39,15,0,25,925
1234567236,2-2022,Gender.Female,17,125,39,15,0,25,925
1234567237,1-2022,Gender.Male,27,150,52,30,0,23,1328
1234567237,2-2022,Gender.Male,27,150,53,30,0,24,1338
1234567238,1-2022,Gender.Male,90,142,40,16,0,20,843
1234567238,2-2022,Gender.Male,90,142,40,16,0,20,843
1234567239,1-2022,Gender.Male,34,152,70,29,0,30,1485
1234567239,2-2022,Gender.Male,34,152,70,29,0,30,1485
1234567240,1-2022,Gender.Female,30,150,65,35,0,29,1277
1234567240,2-2022,Gender.Female,30,150,65,35,0,29,1277
1234567241,1-2022,Gender.Female,9,115,26,0,19,20,773
1234567241,2-2022,Gender.Female,9,115,26,0,19,20,773
1234567242,1-2022,Gender.Female,11,119,36,0,20,25,888
1234567242,2-2022,Gender.Female,11,119,36,0,20,25,888
1234567243,1-2022,Gender.Male,51,163,75,31,0,28,1519
1234567243,2-2022,Gender.Male,51,163,75,31,0,28,1519
1234567244,1-2022,Gender.Female,46,152,68,32,0,29,1239
1234567244,2-2022,Gender.Female,46,152,68,32,0,29,1239
1234567245,1-2022,Gender.Male,16,145,47,22,0,22,1301
1234567245,2-2022,Gender.Male,16,145,47,22,0,22,1301
1234567246,1-2022,Gender.Female,14,143,45,19,0,22,1113
1234567246,2-2022,Gender.Female,14,143,45,19,0,22,1113
1234567247,1-2022,Gender.Male,55,147,61,33,0,28,1259
1234567247,2-2022,Gender.Male,55,147,60,33,0,28,1249
1234567248,1-2022,Gender.Female,42,143,57,32,0,28,1093
1234567248,2-2022,Gender.Female,42,143,57,32,0,28,1093
1234567249,1-2022,Gender.Female,25,153,54,29,0,23,1210
1234567249,2-2022,Gender.Female,25,153,54,29,0,23,1210
1234567250,1-2022,Gender.Female,22,152,50,30,0,22,1179
1234567250,2-2022,Gender.Female,22,152,50,31,0,22,1179
1234567251,1-2022,Gender.Male,55,156,74,25,0,30,1445
1234567251,2-2022,Gender.Male,55,156,74,25,0,30,1445
1234567252,1-2022,Gender.Male,39,170,84,34,0,29,1713
1234567252,2-2022,Gender.Male,39,170,84,34,0,29,1713
1234567253,1-2022,Gender.Female,29,146,65,31,0,30,1257
1234567253,2-2022,Gender.Female,29,146,65,31,0,30,1257
1234567254,1-2022,Gender.Male,10,105,26,0,18,24,871
1234567254,2-2022,Gender.Male,10,105,26,0,18,24,871
1234567255,1-2022,Gender.Male,45,157,70,29,0,28,1461
1234567255,2-2022,Gender.Male,45,157,70,29,0,28,1461
1234567256,1-2022,Gender.Female,40,155,55,24,0,23,1158
1234567256,2-2022,Gender.Female,40,155,55,24,0,23,1158
1234567257,1-2022,Gender.Male,15,139,41,28,0,21,1209
1234567257,2-2022,Gender.Male,15,139,41,28,0,21,1209
1234567258,1-2022,Gender.Female,70,171,47,27,0,16,1028
1234567258,2-2022,Gender.Female,70,171,47,27,0,16,1028
1234567259,1-2022,Gender.Male,30,155,77,34,0,32,1594
1234567259,2-2022,Gender.Male,30,155,77,34,0,32,1594
1234567260,1-2022,Gender.Male,24,157,56,27,0,23,1426
1234567260,2-2022,Gender.Male,24,157,56,27,0,23,1426
1234567261,1-2022,Gender.Female,77,174,77,36,0,25,1312
1234567261,2-2022,Gender.Female,77,174,77,36,0,25,1312
1234567262,1-2022,Gender.Female,50,171,65,28,0,22,1308
1234567262,2-2022,Gender.Female,50,171,65,28,0,22,1308
1234567263,1-2022,Gender.Female,15,143,54,23,0,26,1198
1234567263,2-2022,Gender.Female,15,143,54,23,0,26,1198
1234567264,1-2022,Gender.Female,65,174,64,23,0,21,1242
1234567264,2-2022,Gender.Female,65,174,64,23,0,21,1242
1234567265,1-2022,Gender.Male,63,183,53,26,0,16,1364
1234567265,2-2022,Gender.Male,63,183,53,26,0,16,1364
1234567266,1-2022,Gender.Male,29,166,70,33,0,25,1598
1234567266,2-2022,Gender.Male,29,166,70,33,0,25,1598
1234567267,1-2022,Gender.Female,60,171,63,31,0,22,1238
1234567267,2-2022,Gender.Female,60,171,63,31,0,22,1238
1234567268,1-2022,Gender.Female,28,172,47,22,0,16,1244
1234567268,2-2022,Gender.Female,28,172,47,22,0,16,1244
1234567269,1-2022,Gender.Female,29,179,76,39,0,24,1573
1234567269,2-2022,Gender.Female,29,179,76,39,0,24,1573
1234567270,1-2022,Gender.Male,36,176,63,39,0,20,1555
1234567270,2-2022,Gender.Male,36,176,63,39,0,20,1555
1234567271,1-2022,Gender.Female,13,112,36,16,0,29,834
1234567271,2-2022,Gender.Female,13,112,36,16,0,29,834
1234567272,1-2022,Gender.Female,15,155,31,14,0,13,1043
1234567272,2-2022,Gender.Female,15,155,31,14,0,13,1043
1234567273,1-2022,Gender.Male,45,167,70,31,0,25,1524
1234567273,2-2022,Gender.Male,45,167,70,31,0,25,1524
1234567274,1-2022,Gender.Female,30,156,56,24,0,23,1224
1234567274,2-2022,Gender.Female,30,156,56,24,0,23,1224
1234567275,1-2022,Gender.Male,18,149,47,21,0,21,1316
1234567275,2-2022,Gender.Male,18,149,47,21,0,21,1316
1234567276,1-2022,Gender.Male,15,133,45,19,0,25,1211
1234567276,2-2022,Gender.Male,15,133,45,19,0,25,1211
1234567277,1-2022,Gender.Male,60,171,54,26,0,18,1314
1234567277,2-2022,Gender.Male,60,171,54,26,0,18,1314
1234567278,1-2022,Gender.Male,12,103,39,19,0,37,979
1234567278,2-2022,Gender.Male,12,103,39,19,0,37,979
1234567279,1-2022,Gender.Female,10,93,33,22,0,38,700
1234567279,2-2022,Gender.Female,10,93,33,22,0,38,700
1234567280,1-2022,Gender.Male,40,174,83,37,0,27,1723
1234567280,2-2022,Gender.Male,40,174,83,37,0,27,1723
1234567281,1-2022,Gender.Male,60,140,60,32,0,31,1180
1234567281,2-2022,Gender.Male,60,140,60,32,0,31,1180
1234567282,1-2022,Gender.Female,55,170,79,34,0,27,1417
1234567282,2-2022,Gender.Female,55,170,79,34,0,27,1417
1234567283,1-2022,Gender.Female,18,140,42,24,0,21,1044
1234567283,2-2022,Gender.Female,18,140,42,24,0,21,1044
1234567284,1-2022,Gender.Female,60,155,89,38,0,37,1398
1234567284,2-2022,Gender.Female,60,155,89,38,0,37,1398
1234567285,1-2022,Gender.Male,65,155,70,36,0,29,1349
1234567285,2-2022,Gender.Male,65,155,70,36,0,29,1349
1234567286,1-2022,Gender.Male,29,170,80,41,0,28,1723
1234567286,2-2022,Gender.Male,29,170,80,41,0,28,1723
1234567287,1-2022,Gender.Male,45,170,75,33,0,26,1593
1234567287,2-2022,Gender.Male,45,170,75,33,0,26,1593
1234567288,1-2022,Gender.Female,43,163,53,24,0,20,1173
1234567288,2-2022,Gender.Female,43,163,53,24,0,20,1173
1234567289,1-2022,Gender.Male,20,182,72,26,0,22,1763
1234567289,2-2022,Gender.Male,20,182,72,26,0,22,1763
1234567290,1-2022,Gender.Female,18,142,48,21,0,24,1117
1234567290,2-2022,Gender.Female,18,142,48,21,0,24,1117
1234567291,1-2022,Gender.Male,55,167,59,22,0,21,1364
1234567291,2-2022,Gender.Male,55,167,59,22,0,21,1364
1234567292,1-2022,Gender.Female,50,159,78,21,0,31,1363
1234567292,2-2022,Gender.Female,50,159,78,21,0,31,1363
1234567293,1-2022,Gender.Female,29,150,75,40,0,33,1382
1234567293,2-2022,Gender.Female,29,150,75,40,0,33,1382
1234567294,1-2022,Gender.Male,30,175,88,47,0,29,1829
1234567294,2-2022,Gender.Male,30,175,88,47,0,29,1829
1234567295,1-2022,Gender.Male,60,140,60,32,0,31,1180
1234567295,2-2022,Gender.Male,60,140,60,32,0,31,1180
1234567296,1-2022,Gender.Male,55,170,79,31,0,27,1583
1234567296,2-2022,Gender.Male,55,170,79,31,0,27,1583
1234567297,1-2022,Gender.Male,18,140,42,24,0,21,1210
1234567297,2-2022,Gender.Male,18,140,42,24,0,21,1210
1234567298,1-2022,Gender.Female,16,135,34,21,0,19,943
1234567298,2-2022,Gender.Female,16,135,34,21,0,19,943
1234567299,1-2022,Gender.Female,44,153,64,22,0,27,1215
1234567299,2-2022,Gender.Female,44,153,64,22,0,27,1215
1234567300,1-2022,Gender.Female,38,150,65,21,0,29,1237
1234567300,2-2022,Gender.Female,38,150,65,21,0,29,1237
1234567301,1-2022,Gender.Female,73,150,43,19,0,19,842
1234567301,2-2022,Gender.Female,73,150,43,19,0,19,842
1234567302,1-2022,Gender.Female,64,160,52,23,0,20,1039
1234567302,2-2022,Gender.Female,64,160,52,23,0,20,1039
1234567303,1-2022,Gender.Female,53,157,68,21,0,28,1235
1234567303,2-2022,Gender.Female,53,157,68,21,0,28,1235
1234567304,1-2022,Gender.Female,55,150,60,19,0,27,1102
1234567304,2-2022,Gender.Female,55,150,60,19,0,27,1102
1234567305,1-2022,Gender.Female,18,143,43,19,0,21,1073
1234567305,2-2022,Gender.Female,18,143,43,19,0,21,1073
1234567306,1-2022,Gender.Male,31,141,56,20,0,28,1291
1234567306,2-2022,Gender.Male,31,141,56,20,0,28,1291
1234567307,1-2022,Gender.Female,28,159,59,21,0,23,1283
1234567307,2-2022,Gender.Female,28,159,59,21,0,23,1283
1234567308,1-2022,Gender.Male,63,167,68,20,0,24,1414
1234567308,2-2022,Gender.Male,63,167,68,20,0,24,1414
1234567309,1-2022,Gender.Male,40,160,71,26,0,28,1515
1234567309,2-2022,Gender.Male,40,160,71,26,0,28,1515
1234567310,1-2022,Gender.Female,32,151,64,23,0,28,1263
1234567310,2-2022,Gender.Female,32,151,64,23,0,28,1263
1234567311,1-2022,Gender.Female,15,145,48,21,0,23,1150
1234567311,2-2022,Gender.Female,15,145,48,21,0,23,1150
1234567312,1-2022,Gender.Male,37,158,65,29,0,26,1458
1234567312,2-2022,Gender.Male,37,158,65,29,0,26,1458
1234567313,1-2022,Gender.Male,40,162,70,23,0,27,1518
1234567313,2-2022,Gender.Male,40,162,70,23,0,27,1518
1234567314,1-2022,Gender.Male,22,158,57,21,0,23,1453
1234567314,2-2022,Gender.Male,22,158,57,21,0,23,1453
1234567315,1-2022,Gender.Male,20,155,50,19,0,21,1374
1234567315,2-2022,Gender.Male,20,155,50,19,0,21,1374
1234567316,1-2022,Gender.Male,18,155,49,23,0,20,1374
1234567316,2-2022,Gender.Male,18,155,49,23,0,20,1374
1234567317,1-2022,Gender.Female,20,158,49,19,0,20,1217
1234567317,2-2022,Gender.Female,20,158,49,19,0,20,1217
1234567318,1-2022,Gender.Male,35,148,65,24,0,30,1405
1234567318,2-2022,Gender.Male,35,148,65,24,0,30,1405
1234567319,1-2022,Gender.Female,70,158,47,21,0,19,947
